

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.038  000.038: --- NVIM STARTING ---
000.215  000.177: event init
000.317  000.101: early init
000.384  000.067: locale set
000.449  000.065: init first window
000.779  000.330: inits 1
000.793  000.014: window checked
000.797  000.004: parsing arguments
001.491  000.068  000.068: require('vim.shared')
001.643  000.067  000.067: require('vim._options')
001.644  000.150  000.083: require('vim._editor')
001.646  000.310  000.092: require('vim._init_packages')
001.648  000.541: init lua interpreter
001.725  000.077: expanding arguments
001.813  000.089: inits 2
002.183  000.369: init highlight
002.185  000.002: waiting for UI
005.007  002.822: done waiting for UI
005.036  000.029: clear screen
006.117  001.081: init default mappings & autocommands
011.493  003.878  003.878: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/ftplugin.vim
013.330  001.420  001.420: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/indent.vim
014.500  000.106  000.106: require('vim.loader')
017.270  000.044  000.044: require('vim.fs')
026.608  005.396  005.396: require('lazy')
026.703  000.042  000.042: require('ffi')
027.561  000.849  000.849: require('lazy.stats')
029.598  002.003  002.003: require('lazy.core.util')
031.083  001.480  001.480: require('lazy.core.config')
034.616  002.400  002.400: require('lazy.core.handler')
036.226  001.604  001.604: require('lazy.core.plugin')
036.241  005.154  001.150: require('lazy.core.loader')
046.810  001.434  001.434: require('lazyvim.util')
046.838  005.736  004.302: require('lazyvim.config')
050.318  002.165  002.165: require('lazyvim.config.options')
060.087  000.870  000.870: require('vim.lsp.log')
061.207  001.110  001.110: require('vim.lsp.protocol')
066.502  002.304  002.304: require('vim.lsp._snippet')
067.732  001.224  001.224: require('vim.highlight')
067.768  000.022  000.022: require('vim.F')
067.836  006.624  003.074: require('vim.lsp.util')
067.899  011.308  002.704: require('vim.lsp.handlers')
070.168  002.267  002.267: require('vim.lsp.rpc')
071.130  000.957  000.957: require('vim.lsp.sync')
072.373  001.237  001.237: require('vim.lsp.semantic_tokens')
073.228  000.850  000.850: require('vim.lsp.buf')
074.934  001.700  001.700: require('vim.lsp.diagnostic')
075.486  000.548  000.548: require('vim.lsp.codelens')
075.618  024.366  005.499: require('vim.lsp')
075.623  025.271  000.905: require('config.options')
076.598  000.929  000.929: require('lazyvim.util.plugin')
076.971  000.367  000.367: require('lazyvim.util.inject')
077.912  000.929  000.929: require('lazy.core.handler.event')
078.504  038.524  003.127: require('lazyvim.plugins')
079.404  000.863  000.863: require('lazyvim.plugins.coding')
080.041  000.520  000.520: require('lazyvim.plugins.colorscheme')
085.514  001.367  001.367: require('lazyvim.util.telescope')
085.565  005.510  004.142: require('lazyvim.plugins.editor')
086.469  000.771  000.771: require('lazyvim.plugins.formatting')
087.545  001.042  001.042: require('lazyvim.plugins.linting')
088.722  001.151  001.151: require('lazyvim.plugins.lsp')
089.826  001.057  001.057: require('lazyvim.plugins.treesitter')
091.230  001.364  001.364: require('lazyvim.plugins.ui')
091.990  000.455  000.455: require('lazyvim.plugins.util')
093.187  000.950  000.950: require('lazyvim.plugins.xtras')
094.262  000.845  000.845: require('lazyvim.plugins.extras.linting.eslint')
095.582  000.854  000.854: require('lazyvim.plugins.extras.coding.copilot')
096.848  000.800  000.800: require('lazyvim.plugins.extras.lang.json')
098.189  000.838  000.838: require('lazyvim.plugins.extras.formatting.prettier')
099.380  000.807  000.807: require('lazyvim.plugins.extras.lang.docker')
100.145  000.457  000.457: require('lazyvim.plugins.extras.lang.ruby')
